edad_victima,mes,es_fin_de_semana,temperatura_media,lluvia_mm,velocidad_viento,humedad_relativa,sexo_victima_M,rol_victima_CONDUCTOR,rol_victima_Conductor,rol_victima_PASAJERO,rol_victima_PEATON,rol_victima_SD,rol_victima_conductor,rol_victima_sd
0.2083682455075711,10,0,21.5,0.0,14.6,71.0,1,0,0,0,0,0,0,0
-0.3837629736914888,2,0,22.8,0.0,15.4,46.0,1,0,0,0,0,1,0,0
-0.45777937609137126,1,1,25.5,0.0,5.6,70.0,1,0,0,0,0,1,0,0
-0.3097465712916063,6,0,13.0,0.0,9.0,82.0,1,1,0,0,0,0,0,0
-0.16171376649184133,9,0,14.8,0.0,26.5,89.0,1,0,0,0,0,1,0,0
-0.16171376649184133,8,0,15.9,0.0,6.5,86.0,1,0,0,0,0,1,0,0
-0.16171376649184133,10,1,17.0,0.0,6.3,48.0,1,0,0,0,0,1,0,0
-1.345976204889961,2,1,27.0,0.0,10.6,46.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,1,19.2,0.0,10.3,75.0,1,0,0,0,0,1,0,0
-0.16171376649184133,2,0,26.3,0.0,8.9,52.0,1,0,0,0,0,1,0,0
-0.6058121808911363,3,1,17.9,0.0,7.0,79.0,0,0,0,0,1,0,0,0
1.0225486719062784,10,0,10.0,0.0,11.0,68.0,1,0,0,0,0,1,0,0
-0.6798285832910187,8,0,7.2,0.0,13.4,78.0,1,0,0,0,0,1,0,0
-0.16171376649184133,12,1,13.4,0.0,22.6,72.0,1,0,0,0,0,1,0,0
0.2823846479074536,10,0,18.4,0.0,12.5,51.0,1,0,0,0,0,1,0,0
-0.16171376649184133,6,0,16.6,0.0,9.4,54.0,0,0,0,0,1,0,0,0
-0.08769736409195886,9,0,9.4,0.0,10.9,55.0,1,0,0,0,0,1,0,0
2.2808275127042807,11,0,17.8,0.0,10.7,79.0,0,0,0,0,0,1,0,0
-1.197943400090196,12,0,25.5,0.0,13.9,77.0,1,0,0,0,0,1,0,0
0.35640105030733604,7,1,14.9,0.0,19.1,61.0,1,0,0,0,0,1,0,0
-0.6058121808911363,6,1,4.5,0.0,3.6,58.0,0,0,0,0,0,1,0,0
-0.6798285832910187,4,0,18.1,0.0,11.3,67.0,0,0,0,0,0,1,0,0
1.6886962935052208,8,1,12.9,0.0,9.4,41.0,1,0,0,0,0,0,0,0
-2.0121238264889034,3,0,16.6,0.0,13.2,40.0,1,0,0,0,0,1,0,0
-0.16171376649184133,6,0,10.9,0.0,5.0,49.0,1,0,0,0,0,1,0,0
0.1343518431076886,9,0,10.7,0.0,5.2,73.0,1,0,0,0,0,1,0,0
0.5784502575069835,8,0,12.7,0.0,19.0,43.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,19.6,0.1,6.3,94.0,1,0,0,0,0,1,0,0
0.1343518431076886,6,0,16.1,0.0,7.1,74.0,1,0,0,0,0,1,0,0
-0.6798285832910187,5,0,10.0,0.0,14.4,88.0,1,0,0,0,0,1,0,0
1.1705814767060434,1,0,25.6,0.0,19.4,58.0,0,0,0,0,0,1,0,0
-1.049910595290431,11,0,16.9,0.0,18.1,44.0,1,0,0,0,0,0,0,0
-0.16171376649184133,7,0,12.8,0.0,9.7,59.0,1,0,0,0,0,1,0,0
-0.8278613880907837,5,0,20.3,0.0,8.1,87.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,0,17.9,0.0,1.9,37.0,1,0,0,0,0,1,0,0
-0.16171376649184133,5,0,14.0,0.0,11.6,67.0,1,0,0,0,0,1,0,0
1.6886962935052208,6,0,15.8,0.0,7.3,97.0,0,0,0,0,0,1,0,0
-0.7538449856909012,5,0,16.9,0.0,21.1,87.0,1,0,0,0,0,1,0,0
-0.9758941928905487,2,0,25.4,0.0,16.8,80.0,1,0,0,0,0,1,0,0
-0.16171376649184133,7,0,13.8,0.0,19.0,61.0,0,0,0,0,0,1,0,0
1.9107455007048684,8,0,6.6,0.0,0.0,91.0,1,0,0,0,0,1,0,0
0.2083682455075711,8,0,10.8,0.0,17.1,63.0,1,0,0,0,0,1,0,0
0.2083682455075711,9,0,14.5,0.0,12.5,86.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,26.3,0.0,13.0,84.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,24.4,0.0,5.3,67.0,1,0,0,0,1,0,0,0
-0.6058121808911363,7,0,14.0,0.0,8.3,32.0,0,0,0,0,0,0,0,0
